prompt,response
Who owns MRT Jakarta?,"MRT Jakarta is managed by PT MRT Jakarta, which is a state-owned enterprise (BUMD) owned by the Jakarta Provincial Government."
Who funds the MRT Jakarta project?,The project's funding comes from a loan from the Government of Japan through the Japan International Cooperation Agency (JICA) to the Government of Indonesia. The funds are then donated to the Provincial Government of DKI Jakarta with a 49% grant and loaned with a 51% transfer.
Can MRT Jakarta truly alleviate Jakarta's traffic congestion?,"The Jakarta MRT is designed as one of the integrated mode of transportation options to solve the congestion problem in Jakarta. PT MRT Jakarta has a mission to become a leading public transportation provider committed to promoting economic growth through increased mobility, reduced congestion, and urban transit system development.

Like any public transportation instrument, the most important factor is the willingness of the community to change. The presence of the safe, comfortable, and reliable Jakarta MRT is expected to attract people who have been using private vehicles, especially with the interconnection with KRL, Transjakarta, LRT, and airport trains.

The existence of MRT will encourage a cultural change in the mobility of the community, leading to an improvement in quality of life. Ultimately, the people of Jakarta can eliminate congestion and enjoy a more comfortable and beautiful environment by utilizing public transportation. The Jakarta MRT belongs to the people of Jakarta, belongs to the people of Indonesia. Let's switch to public transportation."
How many trains will operate?,PT MRT Jakarta prepares 16 train sets; 14 sets will operate and two sets will be kept as reserves. One train set consists of six cars.
What is the distance between one point to another?,Varies. Ranging from 0.8 km to 2.2 km.
"What is the capacity of an MRT Jakarta train, per train or per set?","One train can accommodate 200-300 passengers, so one set of carriages can accommodate around 1,200 - 1,800 passengers."
How long is the interval between MRT Jakarta trains?,"The headway of the train is five minutes during peak hours, with a total travel time of 30 minutes. The train stops (dwell time) at each station for +30 seconds."
Is MRT Jakarta safe from earthquakes?,The Jakarta MRT line construction is designed to withstand earthquakes following the Indonesian National Standard of 2012.
Is there a possibility of flooding affecting the MRT Jakarta tunnels?,"No. The access to water from outside the underground station is only through the entrance area located in the pedestrian area, which is about 30 cm - 100 cm above the road surface. So if there is a vulnerable flood situation, the entrance will be raised before passengers descend with stairs or escalators. In addition, there are flood gates and rolling doors that function as ready-made flood barriers to close the entrance access when the water level rises."
What facilities will be provided by MRT Jakarta?,"To enter the station, both elevated and underground, there will be escalators, elevators, and stairs available as convenience options for passengers.

There is a concourse area that provides commercial stalls offering various services needed by the community to support their mobility.

Inside the station, there will be escalators, elevators, first aid rooms, breastfeeding rooms, public toilets, Platform Screen Doors (PSD), seating areas, station front offices for passenger services (customer services), ticket sales offices (TOM), public announcements, and tactile areas for people with disabilities. For the passenger gates, besides the regular ones (with a width of 60 cm), there will also be wider passenger gates with a width of 90 cm for wheelchair users to pass through. Each station will also be equipped with a wireless network, passenger information displays containing arrival and departure information of trains.

For the trains, telecommunication signals can still be accessed by passengers even when they are in tunnels with a depth of 20 meters. Priority seats will be provided for people with disabilities, the elderly, pregnant women, and children. There will also be storage compartments above the priority seats. Inside the train, there will be passenger information displays showing route maps and train positions.

Each underground station will be equipped with air conditioners, while elevated stations will use designs that optimize open air circulation."
What are the safety standards inside the tunnels?,"PT MRT Jakarta has a Risk Management Division that always reviews risks regularly and creates mitigation plans for safety aspects. Health and Safety at Work Standards (K3) are not only for construction work but also when MRT Jakarta starts operating commercially.

Security staff will be available at every station as well as the placement of CCTV to monitor activities inside the station."
Does MRT Jakarta use single or double tracks?,MRT trains in Jakarta use double tracks with a gauge of 1.067 mm.
Is MRT Jakarta operated by drivers or machines?,"The Jakarta MRT train operates using level 2 Automatic Train Operation (ATO) system with Communication-based Train Control (CBTC) signaling system from the Operation Control Center (OCC) in Lebak Bulus. The train operator's function is only to close the train doors and, in special circumstances, to manually operate the train to the nearest station."
Are MRT Jakarta stations integrated with other public transportation?,"Currently, there are four MRT Jakarta stations that are physically integrated with public transportation such as Transjakarta bus stops, Commuterline stations, and the airport train station, namely Bundaran HI Station, Dukuh Atas BNI Station, ASEAN Station, Blok M BCA Station, and Lebak Bulus Grab Station. Each MRT Jakarta station, whether elevated or underground, has been passed by several BRT Transjakarta routes and will be connected to safe and comfortable pedestrian areas so that users can continue their journey to other types of public transportation."
"Is MRT Jakarta friendly for cyclists, people with disabilities, elderly, pregnant women, and children?","Yes. The Jakarta MRT train provides priority seating for people with disabilities, the elderly, pregnant women, and children. The design of the passenger platforms and parallel trains allows for comfortable wheelchair access. Specifically, in the third and fourth train cars, there is a dedicated area for wheelchair seating. The train entrance for passengers (wide passenger gate) is 90 cm wide, allowing cyclists to comfortably bring in foldable bicycles. Cipete Raya Station has a bike rack so that cyclists can park their bikes and continue their journey using the train."
Why should I choose public transportation over private vehicles?,"MRT Jakarta operates with international standards. Meaning safe, comfortable, and reliable. Not only being one of the solutions to the traffic congestion in the capital city, MRT Jakarta also encourages an integrated transportation system with other public transportation modes, such as buses and trains. Each MRT station will develop into transit-oriented development (TOD) that provides various services needed by the community to support their mobility."
What are the operating hours for MRT Jakarta?,"From 05.00 - 24.00 WIB on weekdays Monday-Friday, and from 06.00 - 24.00 WIB on weekends."
Are there job vacancies at MRT Jakarta?,Job vacancy information can be obtained in the Career menu on this website.
What is Transjakarta?,"Transjakarta is a transportation company that has the first Bus Rapid Transit (BRT) transportation system in Southeast and South Asia with the longest route in the world (208 km). Transjakarta officially started operating on January 15, 2004. And on March 27, 2014, Transjakarta officially became PT Transportasi Jakarta."
Since what year has Transjakarta been established?,"Transjakarta has been operating to serve the public since January 15, 2004, but Transjakarta only became a PT (public company) since March 27, 2014."
What services does Transjakarta offer?,"Transjakarta BRT service

Non BRT (non-corridor) service

Free bus

Transjakarta Tour Bus #JakartaExplorer

Premium Transjakarta service

Transjakarta Cares

Mikrotrans"
What's the difference between BRT and Non-BRT?,"BRT stands for Bus Rapid Transit, where BRT service has a dedicated lane separate from private or other public vehicles apart from Transjakarta.

Meanwhile, non-BRT or non-corridor service is Transjakarta service that serves customers on public routes (merging with other vehicles). This service aims to reach more people to use public transportation."
How many corridors are served by Transjakarta?,"Currently, Transjakarta serves 13 corridors spread across Jakarta."
How many routes does Transjakarta operate?,"As of December 31, 2019, Transjakarta has served 247 routes with an average addition of 5 routes per month."
Where can I see the routes for Transjakarta?,The complete Transjakarta route can be seen on the official Transjakarta website www.transjakarta.co.id or on the TiJeKu application.
How do I use Transjakarta?,By tapping on the gate at the bus stop (for BRT service) and tapping on the bus tap on device (for non BRT or non-corridor service).
What is the Transjakarta fare?,"The economical tariff of Transjakarta from 05:00 - 07:00 is Rp 2,000 (if tapped in at the gate or on the bus tapping device).

The regular tariff of Transjakarta from 07:00 - 04:49 is Rp 3,500.

The integrated tariff of Transjakarta with Jak Lingko (road-based) is Rp 5,000 from the initial tap in.

The tariff for Mikrotrans is Rp 0 with a Jak Lingko card.

The premium service tariff of Transjakarta, Royaltrans is Rp 20,000."
Do children have to pay the same fare as adults?,"For customers with a height above 90 cm, the normal fare will be charged."
Which cards can be used on Transjakarta?,"Jak Lingko ,Flazz (BCA), Emoney (Mandiri), Jakcard (Bank DKI), Tapcash (BNI), and Brizzi (BRI)."
Can one card be used by multiple people?,"Currently, if customers use a valid card other than Jak Lingko on Transjakarta, the card can be used by more than one person. However, it is recommended that one card should only be used by one customer.

If using a Jak Lingko card, one card must be used by one customer in order to use the integrated fare (specifically for road-based transportation), which is Rp 5000 for 3 hours."
Can I use cash for Transjakarta payments?,"No, Transjakarta has implemented a cashless system, so you must use the designated payment tools."
Can all Electronic Money Cards (KUE) be recharged at every bus stop?,"Can customers refill their Electronic Money Cards (KUE) at all Transjakarta bus stops, either by debit (according to the issuing bank of KUE) or by cash. However, there will be a service fee for cash refills. Therefore, customers are advised to refill at merchants who have partnered with the issuing banks of KUE.

Transjakarta also provides vending machines for KUE at bus stops. Customers can purchase Jak Lingko cards and refill their Electronic Money Cards (KUE) at these machines."
What's the difference between mikrotrans and Transjakarta?,Microtrans is a type of small or micro bus managed by Transjakarta and integrated with Jak Lingko. This service can be used by the whole community with Rp 0* using the Jak Lingko card.
Does Transjakarta operate 24 hours?,"TransJakarta operates 24 hours on corridor 1, 2, 3, 4, 5, 6, 7, 8, 9, and 10."
What's the difference between regular Transjakarta and Royaltrans?,"Royaltrans service is Transjakarta's premium service. Royaltrans service has a capacity of 30 customers (all seated). This service is also equipped with 1 TV, free wifi, USB ports for charging devices on each seat, bottle holders, and comfortable seats."
Where are the park and ride locations near Transjakarta stops?,"Transjakarta has provided various types of services starting from Mikrotrans, non BRT (non-corridor) so it is expected that the community can already use public transportation from leaving home to arriving at the destination."
How many minutes is the wait time for buses on non-BRT routes?,"Under normal conditions, the headway (waiting time for bus arrival) is every 25 minutes during peak hours and 30 minutes during off-peak hours. However, the punctuality is highly dependent on the traffic situation due to mixed traffic."
How do I use a non-BRT bus?,"Wait for the non-BRT (non-corridor) bus at the available bus stop and make sure your electronic money card balance is sufficient.
Get on from the front door and tap on the bus tap device.
Follow the applicable rules and norms during your journey.
Exit through the middle door and tap out on the bus tap device."
Is tapping required for the GR1 route as well?,"Yes, customers are required to tap in and tap out on routes GR1 and GR2, but don't worry, you will still be charged with a fare of Rp 0-!"
What are the benefits of using the Jak Lingko service?,Customers can use the integrated rate of Rp 5000 for 3 hours (more cost-effective) for road-based transportation. Jak Lingko cards can also be used for microtransactions with a rate of Rp 0.
What are the size restrictions for items on Transjakarta?,The size is 50 cm x 30 cm x 80 cm.
How is Transjakarta Cares different from other regular services?,Transjakarta Cares is a special free service for people with disabilities that is used to assist them in accessing disability-friendly bus stops.
How do I book Transjakarta Cares?,"The Transjakarta Cares service can be ordered through the call center at 1500-102 or through the number 08111545001. And right now, Transjakarta Cares reservations can also be accessed through the TiJeKu application. Reservations must be made one day in advance before using the service."
Can I book Transjakarta Cares through social media?,"Transjakarta Cares service cannot be booked through social media. However, it can be accessed through the call center at 1500-102 or via SMS/WhatsApp at 08111545001. Additionally, it can also be accessed through the TiJeKu application."
How can I get the latest information from Transjakarta?,Follow all official Transjakarta social media accounts to get official information from Transjakarta and don't forget to download the TiJeKu application.
What is the Transjakarta call center number?,"TransJakarta call center is 1500-102. And if you have any questions, customers can also mention directly through Twitter or Halo TiJe in the TiJeKu application."
What are Transjakarta's social media accounts?,"Twitter: @pt_transjakarta (https://bit.ly/twittertije)

Instagram: pt_transjakarta (https://bit.ly/instagramtije)

Facebook Fanpage: PT Transportasi Jakarta (https://bit.ly/fptransjakarta)

YouTube: PT Transportasi Jakarta (https://bit.ly/youtubetj)

Transjakarta official app: TiJeKu (https://bit.ly/tijekuseru)"
What is LRT?,"LRT or Light Rail Transit is a mode of transportation that operates passenger trains on light rail tracks. Light rail vehicles are generally powered electrically, either through an Overhead Line (Overhead Electric System) or through a Third Rail (Third Rail Electric System). Light in the context we use here means ""intended for light loads and fast movement,"" so it does not refer to physical weight. Therefore, LRT will work with the concept of ""moving more passengers through more route operations."" The scope of LRT usually only serves urban routes, such as from one place in Jakarta to another place within Jakarta, and interurban routes such as Bekasi-Jakarta or Jakarta-Cibubur. The terms used are urban and interurban service routes."
What is LRT Jabodebek?,"The Jabodebek LRT project is a large-scale, complex railway-based transport project. The Jabodebek LRT is being built to alleviate the traffic congestion in Jakarta from the surrounding satellite cities. This will help minimize traffic jams on the Jakarta-Cikampek (Japek) and Jagorawi toll roads.

The Minister of Transportation affirmed that the development of the Jabodebek LRT is one of the national priority programs. Especially to meet the demands of the public for safe, comfortable, and punctual public transportation."
Which company is behind LRT Jabodebek?,"PT Adhi Karya (persero) Tbk, PT Kereta Api Indonesia (state-owned company)."
When is the estimated completion date for phase 1 construction of LRT Jabodebek?,LRT Jabodebek phase I is targeted to be completed by 2019.
How do you determine the route for LRT Jabodebek services?,Cross-service LRT Jabodebek (routes) are determined through the Decision of the Minister of Transportation of the Republic of Indonesia Number: KP. 394 Year 2015 concerning the Determination of Routes for the Overhead Line of the National Light Rail Transit Type in the Jabodetabek Area by PT. ADHI Karya (Persero) Tbk.
How is traffic managed around the LRT Jabodebek project during construction?,"Having a traffic team means having people who carry flags or traffic lights and are responsible for opening and closing roads. And the patrol cars are the team that guards the U-Shape Girder vehicles. This team also informs about the project work. Besides these two teams, there is a housekeeping team that is responsible for maintaining cleanliness along the LRT track."
During what hours is the construction work carried out?,"ADHI tries to minimize road users' discomfort during construction. For example, by conducting LRT project work at night until early morning when traffic congestion starts to decrease. As for the transportation of precast materials to the site, it is done at night from 22:00 to 05:00 WIB. However, due to the worsening traffic congestion, especially on the Cawang-Bekasi service route where there is an elevated toll road project from Jakarta to Cikampek, in addition to the LRT Jabodebek project, the window time has become shorter, from 23:00 to 04:00 WIB."
"What mitigation measures does ADHI take concerning surrounding infrastructure, dust, and noise disturbances?","ADHI always uses a white colored iron fence with two red lines pattern on the top and one red line on the bottom as a separator between the public area and the project area, so not everyone can enter and exit easily. In addition, it also aims to prevent dust and construction noise from directly impacting the environment."
Why is LRT Jabodebek built elevated (above ground)?,"The Elevated LRT track has several considerations including:

1. The number of pedestrian overpasses (JPO) and flyovers passed on the three LRT Jabodebek phase 1 service lines, namely Cawang-Cibubur, Cawang-Dukuh Atas, and Cawang-Bekasi.
2. Maintaining a maximum slope of 2% for the track. Vertical changes in the track will affect passenger comfort and require significant power, resulting in high electricity consumption, operational costs, and maintenance fees.
3. Minimizing social issues and disturbances caused by irresponsible parties, as seen on the at-grade track.
4. Eliminating level crossings with roads, which often lead to traffic accidents. The Cawang-Cibubur track crosses the Jagorawi Toll Road and the JORR Toll Road. The Cawang-Dukuh Atas track crosses the CTC Toll Road and Kuningan intersection. The Cawang-Bekasi track passes through Cawang Interchange, Til Wiyoto Wiyono, Tol Cikampek Access, and East Bekasi On-Ramp towards Cikampek.
5. Minimizing land acquisition costs, as at-grade tracks require more significant expenses.
6. If the elevated construction is built above the road, the space below can still be utilized efficiently after construction is completed.
7. If it is built underground, it will require more time and incur higher costs.
8. In accordance with Regulation of the Minister of Public Works No. 19/PRT/M/2011 regarding Technical Requirements for Roads and Technical Planning Criteria for Highways Article 17 paragraph 5.
9. Based on the mandate of the Law No. 23/2007 concerning railways to avoid level crossings, especially on new railway lines."
Why are there some non-elevated LRT Jabodebek constructions at certain locations?,"Because in several locations there are certain height limits that have been regulated by local regulations, so the route is made downward (not elevated)."
What structural elements are used in LRT Jabodebek?,"The supporting components of U-Shape Girder are as follows:

Pier Head. Pier Head serves as the foundation to support the U-Shape Girder. Thanks to the use of slim U-Shape Girder, the required dimensions of Pier Head can be reduced. Its impact is certainly significant for the overall time and cost efficiency of the LRT Jabodebek project.
Column. Columns are tall pillars often found at LRT Jabodebek construction sites. These columns will be connected to the Pier Head before being installed with the U-Shape Girder.
Additionally, the U-Shape Girder is also supported by Borepile or Spunpile foundations, which are covered with Pile Caps and embedded underground. This will make the LRT Jabodebek track sturdy and strong.

Bore Pile is a type of deep foundation that is cylindrical in shape. It functions to transfer the structural load from the building above it, from the surface of the ground to the hard soil layer beneath it. Bore pile foundations serve the same purpose as other deep foundations, such as pile foundations. The difference between them lies in the method of construction.

Spun Pile, or round pile, is the most modern and commonly used pile foundation in the world. This type of pile is created using a spinning process to achieve density and homogeneity."
Why are the LRT pillars slender?,"The first reason is because it aligns with the limited land in Jakarta. In addition, it is adapted to the U-Shaped Girder technology, allowing the supporting concrete of the track to be adjusted and made slimmer than it should be."
What is a girder? What type of girder is used in LRT Jabodebek?,"Girders are upper structure parts that function to distribute loads such as vehicle loads, the weight of the girder itself, and other loads on top of the girder to the lower structure parts, namely abutments. Generally, girders are steel beams with an I-profile, but girders can also be box-shaped (box girder), or other shapes.
Girders used in LRT Jabodebek:

Box Girder. It is in the form of a hollow box beam, arranged lengthwise, using pillars as supports. Generally, there are several types of Box Girder shapes, namely square and trapezoid.
U-Shaped Girder. U-Shaped Girder was first used in Indonesia. U-Shaped Girder technology was adapted by ADHI from France specifically for supporting tracks in LRT Jabodebek. ADHI chose U-Shaped Girder because it can optimize the width of the supporting concrete track smaller than it should be. The impact of its use is saving time and construction costs."
What is a U-Shape girder?,"U-Shape Girder is a girder with a concrete mold in the shape of the letter ""U"". For the first time, U-Shape Girder is used in Indonesia and was born in the Precast Factory owned by PT AdhiKarya (Persero) Tbk. U-Shape Girder is chosen because of its slim and thin shape, which is familiar with the urban architecture in DKI Jakarta that has limited land."
Why use a U-Shape girder?,"The U-Shaped Girder is chosen for several reasons. Firstly, in terms of size, the U-Shaped Girder is suitable for the limited land in Jakarta. The available land for construction in Jakarta is limited. In U-Shaped Girder technology, the supporting concrete track can be adjusted and made slimmer than it should be.

Secondly, although the size of the Girder appears slim and thin, the structure is ensured to safely support various activities of the Jabodebek LRT. Even the U-Shaped Girder structure is engineered by ADHI to adapt to the characteristics of Indonesia, which has many active volcanoes, meaning it is earthquake-resistant despite its slim shape.

Thirdly, it provides both time and cost efficiency. The slim size of the U-Shaped Girder directly correlates to the reduction of time and cost during the construction process.

Fourthly, because ADHI's U-Shaped Girder design is adopted from France, aesthetic aspects are a must. The slim and thin U-Shaped design is an application of aesthetic elements without compromising the structural function, embraced by a country that is one of the trendsetters in fashion.

Lastly, besides being earthquake-resistant, the U-Shaped Girder is also designed to reduce noise pollution when the #LRTJabodebek is operational, as it has noise barriers. Furthermore, the U-Shaped Girder will have walkways to allow passengers to evacuate in case of disruptions to the Jabodebek LRT."
How are U-Shape Girders transported to the project site?,"The U-Shaped Girder is transported to the site using a trailer truck or a tractor-trailer. This truck is essential for mobilizing the transportation of the U-Shaped Girder after it has been produced by the precast factory, both in Pancoran and Sentul, to be delivered to the LRT Jabodebek project site.

The truck is a type of multi-axle trailer vehicle, consisting of hydraulic suspension cylinders, a diesel engine, hydraulic steering system, and mechanics. This vehicle has the main application as long-distance transportation to carry equipment with very heavy and abnormal loads.

Usually, these multi-axle trailer vehicles are operated at night when the volume of vehicles passing on the highway is low, so as not to disrupt public interests."
LRT Jabodebek uses a Ballastless Track system. What is a Ballastless track?,Ballastless Track is a track system without ballast or without stones around the rails.
What are the advantages of using the Ballastless Track system?,"Minimizing the burden and cost, high consistency towards the geometry of the railway crossing so that maintenance is reduced and capable of withstanding heavier axle loads, as well as better and controlled drainage systems."
LRT Jabodebek uses a moving block signaling system. What is a moving block?,Moving block is a train signaling system that operates in real time by a computer.
What types of girders are used by LRT Jabodebek for long-span structures?,ADHI uses Box Girder and U Box Girder for long span structure. Box Girder is used for curved or bent alignments. U Box Girder is used for straight alignments.
"How strong are the pillars built to support the LRT tracks, and how long can their construction withstand the load?","When it comes to design, ADHI has considered the strength design of columns and any other parts of the LRT structure. The design is adjusted to the load of the train that will be operated. In addition, it will also pay attention to and follow the Indonesian National Standard (SNI) in the event of an earthquake, such as the structural resistance to a 1000-year seismic period. Not only that, but the structure itself can withstand a minimum of 100 years. This is the basis for the planning of the pillars in the Jabodetabek LRT, so that the pillars are ready to withstand the load when the LRT is in operation."
"Some LRT buildings are elevated while others are not, especially on the Cawang-Cibubur route. Why?","Because in the area, there is an LRT route, which is included in the KKOP (Aviation Operational Safety Area) area, so there is a maximum height restriction. Additionally, there is an overpass in that area, which makes it impossible to build an elevated LRT due to the KKOP. Therefore, the option is for the Jabodebek LRT to be built underground. Hence, the LRT in that area has a semi at-grade track to comply with the existing KKOP."
What techniques or methods does ADHI use when constructing LRT over the wide Bekasi river? Are there specific challenges?,"So, on the LRT Jabodebek track, precisely on the Kali Bekasi, it does not use the standard structure, so ADHI uses a longspan with a span length of more than 40 meters. On the foundation of the longspan, there is an addition of protection using sheet piles, which function to protect the foundation work from the river flow. ADHI uses U Box on the longspan, which is a combination of Box Girder with U Shaped. In this LRT, ADHI uses concrete structures to become free maintenance so that costs will be cheaper."
What is TOD?,"Transit Oriented Development (TOD) is a concept of transportation development that synergizes with spatial planning in order to accommodate new growth by strengthening residential environments and expanding choices and benefits, through the optimization of mass public transportation networks such as buses and trains, making it easier for city residents to access urban resources. In the TOD concept, areas are divided based on the transportation mode services."
Who will handle the operations of LRT Jabodebek?,"PT. Kereta Api Indonesia, Tbk (PT. Indonesian Railways, Ltd.)"
What is LRT Jakarta?,LRT Jakarta is a new public transportation mode dedicated to the community towards an environmentally friendly mobility era. PT LRT Jakarta is a subsidiary of PT Jakarta Propertindo / JAKPRO which was formed based on the assignment of PT Jakarta Propertindo as stated in Governor Regulation Number 154 of 2017 as the implementation of the infrastructure and means of LRT Jakarta.
Where do the LRT Jakarta trains originate from?,Current usage has exceeded your plan's limits. Please upgrade to a paid plan at https://sheetgpt.ai/pricing to immediately increase your usage limits.
What is the speed of LRT Jakarta?,The Jakarta LRT train will operate with an average speed of about 50 km/h and can reach a maximum speed of up to 90 km/h.
How long is the travel time between LRT Jakarta stations?,"The travel time between Jakarta's LRT stations is approximately 1 to 2.5 minutes. Meanwhile, covering a distance of 5.8 km will take a total time of 13 to 15 minutes."
How many trains does LRT Jakarta have?,"Currently, LRT Jakarta has 8 trainsets. The plan is for 6 LRV (Light Rail Transit Vehicle) trainsets to operate and serve the public, while 2 LRVs will be kept as reserves. Each trainset consists of 2 connected cars."
How frequent are the LRT Jakarta train intervals (headway)?,LRT Jakarta has a headway every 10 minutes.
What is the capacity of one set of LRT Jakarta trains?,"One Jakarta LRT train can accommodate up to 135 passengers, while one LRV set or one trainset can accommodate up to 270 passengers, both seated and standing. Currently, Jakarta LRT operates one LRV set/one trainset consisting of 2 cars."
What are the operational hours of LRT Jakarta?,Facilities services of Jakarta's LRT starts from 05.30 AM to 11.00 PM every day.
What facilities are available at LRT Jakarta?,"The Jakarta LRT station is equipped with various supporting facilities such as ticket sales or ticket counters, Automatic fare collection system, customer service, ticket vending machines, comfortable and clean public toilets, first aid room, public announcement, retail and commercial area, Lift, escalator, Mushola, and Nursery room.

In addition, supporting facilities such as priority seats are provided for people with disabilities, elderly people, pregnant women, and children. There will also be available storage space above the priority seats. Inside the train, there is a passenger information display that contains route maps and train position status."
Is LRT Jakarta integrated with other modes of public transportation?,"Jakarta LRT will integrate transportation modes with Transjakarta. The first integration point is located at LRT Jakarta Velodrome Station with Transjakarta Pemuda, Rawamangun Bus Stop. This is supported by the construction of a connecting bridge (skybridge) between LRT Jakarta station and Transjakarta Bus Stop in the paid area.

Furthermore, the integration route of Non-BRT Transjakarta 10F has been opened, serving the route from Pegangsaan Dua Station to Sunter Kelapa Gading via Mall Artha Gading and Mall of Indonesia (MOI). This minitrans service operates from 06.00 to 22.00 WIB.

In addition to Transjakarta buses, LRT Jakarta Station is also integrated with Angkutan Jak Lingko JAK-24 route, serving the route from Senen to Kelapa Gading to Pulo Gadung to LRT Jakarta Boulevard Utara Station, which can be accessed through a special card called Kartu Jak Lingko. This is expected to facilitate customers and support the Governor of DKI Jakarta in the Jak Lingko program."
"What is the fare for LRT Jakarta, and how can it be purchased?","The ticket fare for Jakarta's LRT is flat at Rp5,000,- for one trip. Passengers can purchase tickets at the Ticket Vending Machine (TVM) or the Passenger Agent Office (PAO), which is a manual counter with staff serving purchases."
Are there job vacancies at LRT Jakarta?,Job vacancy information for LRT Jakarta can be viewed through the section https://lrtjakarta.co.id/karir.html
Why should I ride LRT Jakarta?,"Jakarta LRT is a comfortable and safe public transportation with international standards, providing friendly and classy services. Jakarta LRT is also one of the environmentally-friendly mass transportation modes that can reduce carbon emissions from private vehicles."
What is meant by retail?,Marketing products is a way that covers all activities involving the direct sales of goods or services to end consumers for personal use.
What does retail mean in the context of LRT Jakarta?,Retail LRT Jakarta is commercial spaces in Jakarta LRT stations that can be used for buying and selling business activities.
What types of businesses can operate in the retail spaces of LRT Jakarta?,"Businesses such as convenience stores, food and beverage, merchandise, ATMs, lockers, vending machines, and so on."
Where are the retail locations in LRT Jakarta?,"The retail location of LRT Jakarta is at 6 stations that are operational along the 5.8 km route, with the following details:

- Pegangsaan Dua
- Boulevard Utara
- Boulevard Selatan
- Pulomas
- Equestrian
- Velodrom"
Why choose to set up retail in LRT Jakarta?,"The Jakarta LRT station area is a strategic development area in terms of residential and commercial/leisure.

It is estimated that an average of 14,225 passengers per day (or up to 5 million passengers per year) will use the Jakarta LRT facility (Phase 1).

The station is connected to other modes of transportation, especially Transjakarta and the Jak Lingko transportation network, as well as leading commercial properties."
How can one set up a retail space in LRT Jakarta?,"The process of selection can be carried out to determine retail tenants that meet the criteria set by PT LRT Jakarta. For further information, please send an email to retail@lrtjakarta.co.id."
What are the potential future development opportunities for retail businesses?,"The Jakarta LRT project will run a total of 116km, from the 5.8km that is already operational. Retail spaces will be continuously created at each Jakarta LRT stations if there is demand and potential from the surrounding area."
How can one purchase tickets for LRT Jakarta?,"Ticket purchases can be made using the Single Journey Trip (SJT) card, which can be obtained at ticket counters or through Ticket Vending Machines (TVM). In addition, customers can also use Electronic Money Cards (KUE), such as e-money (Bank Mandiri), Flazz (Bank BCA), Tap-Cash (Bank BNI), Brizzi (Bank BRI), Jakcard (Bank DKI), and Jak Lingko (Bank DKI/BNI)."
"What is the Single Journey Trip (SJT) card in LRT Jakarta, and what are its terms?","Single Journey Trip (SJT) card is a ticket card that is valid for one trip and can be obtained at the Passenger Agent Office (PAO) payment counter or at the Ticket Vending Machine (TVM) located at all Jakarta LRT stations. It incurs a penalty if used for more than 2 hours in the paid area of the station (without tapping out) amounting to Rp 5,000."
What is the price of the Single Journey Trip (SJT) card for LRT Jakarta?,"One Single Journey Trip (SJT) LRT Jakarta card costs Rp 20,000, which consists of a travel fare of Rp 5,000 and a card deposit of Rp 15,000. The deposit can be refunded at the destination station and is valid for up to 7 days after tapping out."
